Subrubro;rubro_id
Accesorios Superfren;1
Accesorios para frenos;2
Accesorios para frenos aereos;2
Accesorios para Policarbonatos;2
Accesorios para vidrios;2
Accesorios para vitrinas;2
Espejo Parabolico;2
Perfil Camara DVH;2
Baldosa Contra Incendio;3
Baldosa Hierro;3
Baldosa Hormigon;3
Bloques de Pared;4
Boques de Piso;4
Burletes;5
<NINGUNO>;6
Espejo Color;7
Espejo Incoloro;7
Espejo Parabolico;7
Optimirror;7
Frenos Aereos;8
Frenos de piso 135º;8
Frenos de piso 90º;8
Frenos de piso Portero Electrico;8
Frenos Superfren;9
Alojamientos con buje para pivotacion;10
Alojamientos para cerraduras y/o pasadores;10
Bisagras;10
Cerraduras centrales;10
Cerraduras inferiores y/o superiores;10
Herrajes de pivotación;10
Herrajes para frentes;10
Herrajes para puertas con zocalon;10
Herrajes para puertas corredizas;10
Herrajes para puertas plegadizas;10
Manijones y tiradores;10
Pasadores;10
Pivotacion para banderolas basculantes;10
Sistema araña;10
Cortavidrios;11
Pinzas;11
Caño Estructural;12
Hierro Angulo;12
Hierro Liso;12
Hierro Torsionado;12
Planchuela;12
Tubo Redondo Estructural;12
Ladrillo Color;13
Ladrillo Especial;13
Ladrillo Incoloro;13
Masillas;14
Selladores;14
<NINGUNO>;15
Perfilerias varias;16
Piso de Vidrio;17
Policarbonato Alveolar Color;18
Policarbonato Alveolar Incoloro;18
Policarbonato Compacto Color;18
Policarbonato Compacto Incoloro;18
Puerta STD Color;19
Puerta STD Incolora;19
Biselados;20
Bordes Pulidos;20
Esmerilados;20
Mano de Obra;20
Perforaciones;20
Tratamientos para Perfiles;20
Tapa de Mesa Color;21
Tapa de Mesa Color Templada;21
Tapa de Mesa Incolora;21
Tapa de Mesa Incolora Templada;21
Tejas de Vidrio;22
Templado Color;23
Templado Incoloro;23
Float Color;24
Float Incoloro;24
Reflectante;24
Solar-E;24
Super Tint;24
Coverglass;25
Decorview;25
Esmerilado Color;26
Esmerilado Incoloro;26
Fantasia Color;26
Fantasia Incoloro;26
Mateado Color;26
Mateado Incoloro;26
Opacid;26
Profilit;26
Laminado Color;27
Laminado Eclipse;27
Laminado Incoloro;27
Laminado Suncool;27
Super Tint Laminado;27
